G1,G4,G8,G2,G6,G9,G5,G3,G7
24,36,473,47,23,723,23,50,45
40,43,486,43,32,807,25,50,48
77,47,507,45,38,895,12,53,54
66,54,464,64,49,681,29,50,47
50,42,496,58,27,712,31,59,57
59,36,491,57,29,734,15,53,60
45,26,469,52,15,685,19,49,42
55,49,498,56,37,878,22,53,52
47,47,518,47,32,733,32,58,55
53,42,505,64,41,912,14,48,37
37,37,487,46,30,687,37,59,55
54,22,505,43,21,852,11,46,55
46,36,477,48,26,753,23,56,49
44,53,499,43,45,873,21,55,49
65,54,528,58,23,692,19,38,57
46,38,498,41,52,886,36,49,42
51,40,510,52,34,781,23,52,53
47,36,485,59,42,753,26,45,64
62,32,534,51,25,562,22,40,44
46,26,515,59,12,689,20,54,49
56,46,463,52,38,835,18,60,50
48,37,489,72,23,781,25,55,53
51,28,529,56,19,700,20,43,47
53,36,535,51,29,717,19,55,34
62,38,469,52,35,870,26,46,48
59,37,459,51,25,722,28,47,54
40,37,459,53,41,736,26,38,48
35,39,466,37,25,727,17,48,50
52,24,555,56,29,755,39,53,44
41,38,484,48,28,693,24,46,57
47,33,604,73,27,709,24,67,45
55,42,471,60,26,725,20,62,39
51,35,476,53,24,607,21,43,51
38,37,467,52,28,821,24,66,50
51,24,510,37,29,632,23,51,57
49,26,552,50,17,697,17,40,47
40,39,472,70,25,613,22,56,45
57,24,477,50,26,843,21,50,49
52,31,494,60,35,620,31,46,52
60,32,552,53,38,607,30,59,53
56,42,499,48,22,738,16,56,55
49,44,485,46,28,723,29,47,54
46,36,471,49,32,898,21,64,39
55,28,488,68,28,742,33,44,54
57,32,483,69,24,868,26,43,57
54,33,499,68,30,741,31,38,45
53,38,469,64,28,651,19,54,52
42,38,493,51,33,600,21,44,42
36,34,480,40,30,695,33,45,47
43,27,519,55,37,757,26,47,53
49,44,463,64,28,687,25,43,54
55,36,469,49,40,741,26,57,45
63,52,505,55,33,648,30,42,46
46,46,525,53,50,575,10,43,48
33,33,468,50,31,844,25,47,50
35,38,535,62,19,813,24,37,50
59,36,499,55,24,820,22,55,55
64,50,518,51,36,651,24,51,62
66,28,513,52,38,716,26,58,59
57,47,514,60,45,686,22,43,56
32,42,534,57,40,860,24,52,49
51,43,526,68,57,577,17,53,46
42,49,499,52,35,612,22,43,66
57,31,493,64,25,691,28,52,45
51,44,477,51,22,838,23,47,48
51,45,488,50,45,852,19,51,49
66,30,477,58,23,876,14,56,54
33,39,466,58,29,942,16,52,47
48,53,503,35,52,765,15,41,49
49,25,506,54,23,740,23,43,34
65,32,527,61,25,723,28,64,44
47,44,484,58,39,625,31,54,49
57,30,448,51,33,735,25,51,47
41,32,492,48,30,853,22,55,31
39,41,508,48,44,708,17,34,63
44,38,431,53,35,699,20,50,58
44,35,490,50,26,836,24,47,27
60,38,544,44,16,709,21,45,57
52,37,511,57,17,751,20,53,41
54,38,518,49,29,727,14,52,62
61,43,497,65,23,757,26,37,47
44,41,491,43,41,823,21,43,41
34,34,472,65,31,774,28,39,41
39,43,484,66,31,735,24,57,54
65,35,546,47,25,688,18,52,51
34,57,551,48,38,627,16,58,48
48,49,524,55,27,692,18,47,50
29,46,498,52,45,718,21,42,57
45,36,467,59,24,628,24,50,50
53,39,506,56,31,726,20,52,49
55,37,466,56,29,722,19,42,49
57,45,516,48,31,727,15,38,51
58,53,519,44,43,628,35,40,47
53,38,485,63,18,858,19,42,43
47,37,488,48,41,683,22,51,47
51,39,481,51,29,699,23,56,52
45,48,532,53,34,608,19,57,52
46,36,515,53,33,743,24,39,40
58,31,488,53,24,719,23,51,47
40,35,484,44,18,671,22,62,39
46,25,576,53,21,575,23,51,36
42,30,531,62,30,691,22,49,58
43,54,506,57,46,874,25,56,47
42,28,578,60,17,596,17,51,59
52,32,491,59,23,902,16,44,55
44,38,515,50,27,700,16,38,49
50,35,483,66,35,743,22,44,48
60,36,460,43,26,667,19,64,42
55,38,514,56,22,743,26,42,40
46,51,542,56,39,857,18,46,50
56,20,551,67,43,728,25,40,52
59,40,514,49,32,860,15,50,41
51,26,462,52,39,728,26,38,40
52,32,506,53,29,779,16,49,52
45,29,489,45,18,610,31,38,43
